Wake up,25200,0,0,7,0
Jerks,25800,0,0,7,10
Breakfast,27600,0,0,7,40
Geomenty/Physprak,31200,1,0,8,40
Break,33900,1,0,9,25
Geomenty/Physprak,34500,1,0,9,35
2nd breakfast,37200,1,0,10,20
Physprak/Geomenty,38100,1,0,10,35
Break,40800,1,0,11,20
Physprak/Geomenty,41100,1,0,11,25
Break,43800,1,0,12,10
Gym class,44400,1,0,12,20
Break,47100,1,0,13,5
Biology,47700,1,0,13,15
Break,50400,1,0,14,0
Educational hour,51000,1,0,14,10
Lunch,53700,1,0,14,55
SP,57600,0,0,16,0
Nooning,63600,0,0,17,40
Ending of SP,68400,0,0,19,0
Dinner,70800,0,0,19,40
Shower closing,78300,0,0,21,45
Retire,81000,0,0,22,30
Wake up,111600,0,1,7,0
Jerks,112200,0,1,7,10
Breakfast,114000,0,1,7,40
Physics,117600,1,1,8,40
Break,120300,1,1,9,25
Physics,120900,1,1,9,35
2nd breakfast,123600,1,1,10,20
English language,124500,1,1,10,35
Break,127200,1,1,11,20
Gym class,127500,1,1,11,25
Break,130200,1,1,12,10
Ukr lit,130800,1,1,12,20
Break,133500,1,1,13,5
Ukr lit,134100,1,1,13,15
Break,136800,1,1,14,0
Lunch,137100,1,1,14,5
SP,144000,0,1,16,0
Nooning,150000,0,1,17,40
Ending of SP,154800,0,1,19,0
Dinner,157200,0,1,19,40
Shower closing,164700,0,1,21,45
Retire,167400,0,1,22,30
Wake up,198000,0,2,7,0
Jerks,198600,0,2,7,10
Breakfast,200400,0,2,7,40
Algebra,204000,1,2,8,40
Break,206700,1,2,9,25
English language,207300,1,2,9,35
2nd breakfast,210000,1,2,10,20
Algebra/Physics,210900,1,2,10,35
Break,213600,1,2,11,20
Algebra/Physics,213900,1,2,11,25
Break,216600,1,2,12,10
Physics/Algebra,217200,1,2,12,20
Break,219900,1,2,13,5
Physics/Algebra,220500,1,2,13,15
Break,223200,1,2,14,0
Lunch,223500,1,2,14,5
SP,230400,0,2,16,0
Nooning,236400,0,2,17,40
Ending of SP,241200,0,2,19,0
Dinner,243600,0,2,19,40
Shower closing,251100,0,2,21,45
Retire,253800,0,2,22,30
Wake up,284400,0,3,7,0
Jerks,285000,0,3,7,10
Breakfast,286800,0,3,7,40
Geometry,290400,1,3,8,40
Break,293100,1,3,9,25
Geometry,293700,1,3,9,35
2nd breakfast,296400,1,3,10,20
Chemistry,297300,1,3,10,35
Break,300000,1,3,11,20
Ukr history,300300,1,3,11,25
Break,303000,1,3,12,10
Informatics,303600,1,3,12,20
Break,306300,1,3,13,5
Informatics,306900,1,3,13,15
Break,309600,1,3,14,0
Astronomy/Art,310200,1,3,14,10
Lunch,312900,1,3,14,55
SP,316800,0,3,16,0
Nooning,322800,0,3,17,40
Ending of SP,327600,0,3,19,0
Dinner,330000,0,3,19,40
Shower closing,337500,0,3,21,45
Retire,340200,0,3,22,30
Wake up,370800,0,4,7,0
Jerks,371400,0,4,7,10
Breakfast,373200,0,4,7,40
Ukr language,376800,1,4,8,40
Break,379500,1,4,9,25
Ukr language,380100,1,4,9,35
2nd breakfast,382800,1,4,10,20
Geography,383700,1,4,10,35
Break,386400,1,4,11,20
World history,386700,1,4,11,25
Break,389400,1,4,12,10
Physics,390000,1,4,12,20
Break,392700,1,4,13,5
Physics,393300,1,4,13,15
Break,396000,1,4,14,0
Lunch,396300,1,4,14,5
SP,403200,0,4,16,0
Nooning,409200,0,4,17,40
Ending of SP,414000,0,4,19,0
Dinner,416400,0,4,19,40
Shower closing,423900,0,4,21,45
Retire,426600,0,4,22,30
Wake up,457200,0,5,7,0
Jerks,457800,0,5,7,10
Breakfast,459600,0,5,7,40
Gym class,463200,1,5,8,40
Break,465900,1,5,9,25
English language,466500,1,5,9,35
2nd breakfast,469200,1,5,10,20
Algebra,470100,1,5,10,35
Break,472800,1,5,11,20
Algebra,473100,1,5,11,25
Break,475800,1,5,12,10
Inf tech,476400,1,5,12,20
Break,479100,1,5,13,5
Protection,479700,1,5,13,15
Break,482400,1,5,14,0
Lunch,482700,1,5,14,5
Dinner,502800,0,5,19,40
Shower closing,510300,0,5,21,45
Retire,513000,0,5,22,30
Breakfast,549900,0,6,8,45
Lunch,568800,0,6,14,0
Dinner,586800,0,6,19,0
Shower closing,596700,0,6,21,45
Retire,599400,0,6,22,30
